Unnamed: 0,FDR,FDL,RDB,RDF,BDL,BDR,LDF,LDB,DFL,DFR,DBR,DBL
FDR,,"U R': R D' R' D, F'","R' U' R, D",,D'/R' U' R,D' R': D'/R U R',"D2: R' U' R, D'","R U: R' U2 R, D'",R' U: D/R U' R',,R' U R: U'/R' D' R,"D R': U, R' D R"
FDL,"U R': F', R D' R' D",,"U R D: R' U' R, D","U R U R', D",D R': D/R U R',U: D'/R U R',,"U D2: R U R', D'",,"U' R': R' U R, D2","U D R: U', R D' R'","U D R D: R' D' R, U"
RDB,"D, R' U' R","U R D2: R' U' R, D'",,"R U': D, R' U' R","D', R' U' R",,"D2, R' U' R",U R: D'/R' U' R,"R': U, R' D R","R': R D' R' U R' D R, U'",,"R': U, R' D2 R"
RDF,,"D, U R U R'","R U': R' U' R, D",,"R' D2: R U R', D","U' R' U R, D",R': D/R U R',U': D'/R' U R,"U R D: R' D' R, U",,"D R': B2, R U' R' U","U R: U', R D' R'"
BDL,D/R' U' R,D R': D'/R U R',"R' U' R, D'","R' D': R U R', D'",,"U' L U, R'","D2: R' U' R, D",,"D' R': U, R' D2 R","D' R': U, R' D R","R' U R: U2, R D' R'",
BDR,D' R': D/R U R',U: D/R U R',,"D, U' R' U R","R', U' L U",,"U' R' U: R' D R, U","D', U' R' U R","R2 U: R U' R', D","U' R' D: R D' R', U",,"R': B2, R U' R' U"
LDF,"D: R' U' R, D",,"R' U' R, D2","R' D': R U R', D2","D': R' U' R, D'","U' R' U2: R' D R, U'",,"R' D R D: R' D' R, U",,"R' D R: U', R D' R'","D2 R': U, R' D R",D R' U: D/R U' R'
LDB,"R U: D', R' U2 R","U D: R U R', D",U R: D/R' U' R,U': D/R' U R,,"U' R' U R, D'","R' D R D: U, R' D' R",,"D' R': B2, R U' R' U","U' R': R' U R, D'","U R D' R': U, R' D R",
DFL,R' U: D'/R U' R',,"R': R' D R, U","U R D: U, R' D' R","D' R': R' D2 R, U","R2 U: D, R U' R'",,"U' D' R' U: B2, U' R U R'",,"R' U R: R U' R', D",R' U R: U'/R' D R,"R' U D2: R U' R', D'"
DFR,,"U' R': D2, R' U R","R': U', R D' R' U R' D R",,"D' R': R' D R, U","U' R' D: U, R D' R'","R' D R: R D' R', U'","U' R': D', R' U R","R' U R: D, R U' R'",,"R2 U' R2 U R2, D","R' U R: D2, R U' R'"
DBR,R' U R: U/R' D' R,"U D R: R D' R', U'",,"U' D R' U: B2, U' R U R'","R' U R: R D' R', U2",,"D2 R': R' D R, U","U R D' R': R' D R, U",R' U R: U/R' D R,"D, R2 U' R2 U R2",,"D', R2 U' R2 U R2"
DBL,"D R': R' D R, U","U D R D: U, R' D' R","R': R' D2 R, U","U R: R D' R', U'",,"U' R' U: B2, U' R U R'",D R' U: D'/R U' R',,"R' U D: R U' R', D","R' U R: R U' R', D2","R2 U' R2 U R2, D'",
